,top words,0,1,2,Text,Text_Processed,REFERENCE_ID,YEAR,TITLE,Text_Processed_str,category
651,human erythrocyt protein bind lead ,-3.2712252,6.9769793,-6.517298,Biological roles of high affinity metal-binding proteins in mediating cell injury,"['biolog', 'role', 'high', 'affin', 'metal-bind', 'protein', 'mediat', 'cell', 'injuri']",88556,1989,Biological roles of high affinity metal-binding proteins in mediating cell injury,biolog role high affin metal-bind protein mediat cell injuri,0
653,human erythrocyt protein bind lead ,-9.434377,4.059059,-4.649253,Effects of meals and meal times on uptake of lead from the gastrointestinal tract of humans,"['effect', 'meal', 'meal', 'time', 'uptak', 'lead', 'gastrointestin', 'tract', 'human']",88563,1985,Effects of meals and meal times on uptake of lead from the gastrointestinal tract of humans,effect meal meal time uptak lead gastrointestin tract human,0
654,human erythrocyt protein bind lead ,-4.1377573,7.4575424,-3.5434103,Relationships between distribution of lead in erythrocytes in vivo and in vitro and inhibition of ALA-D,"['relationship', 'distribut', 'lead', 'erythrocyt', 'vivo', 'vitro', 'inhibit', 'ala-d']",88566,1982,Relationships between distribution of lead in erythrocytes in vivo and in vitro and inhibition of ALA-D,relationship distribut lead erythrocyt vivo vitro inhibit ala-d,0
656,human erythrocyt protein bind lead ,-5.2871113,7.7166467,-4.132454,Food iron and lead absorption in humans,"['food', 'iron', 'lead', 'absorpt', 'human']",88575,1986,Food iron and lead absorption in humans,food iron lead absorpt human,0
679,human erythrocyt protein bind lead ,-1.8627446,5.505789,2.6796405,Extracellular inhibition and intracellular enhancement of Ca2+ currents by Pb2+ in bovine adrenal chromaffin cells,"['extracellular', 'inhibit', 'intracellular', 'enhanc', 'ca2+', 'current', 'pb2+', 'bovin', 'adren', 'chromaffin', 'cell']",89267,1995,Extracellular inhibition and intracellular enhancement of Ca2+ currents by Pb2+ in bovine adrenal chromaffin cells,extracellular inhibit intracellular enhanc ca2+ current pb2+ bovin adren chromaffin cell,0
695,human erythrocyt protein bind lead ,-3.9879837,7.231979,-2.2457185,Ecosystems and human well-being: Current state and trends,"['ecosystem', 'human', 'well-b', 'current', 'state', 'trend']",92759,2005,Ecosystems and human well-being: Current state and trends,ecosystem human well-b current state trend,0
697,human erythrocyt protein bind lead ,7.350025,2.3838863,10.23056,"Climate change 2007: Impacts, adaptation and vulnerability","['climat', 'chang', 'impact', 'adapt', 'vulner']",93181,2007,"Climate change 2007: Impacts, adaptation and vulnerability",climat chang impact adapt vulner,0
710,human erythrocyt protein bind lead ,-7.061834,6.6382003,-5.559211,"The effect of lead on lactate formation, ATP level and membrane ATPase activities in human erythrocytes in vitro","['the', 'effect', 'lead', 'lactat', 'format', 'atp', 'level', 'membran', 'atpas', 'activ', 'human', 'erythrocyt', 'vitro']",95665,1996,"The effect of lead on lactate formation, ATP level and membrane ATPase activities in human erythrocytes in vitro",the effect lead lactat format atp level membran atpas activ human erythrocyt vitro,0
716,human erythrocyt protein bind lead ,-5.5896,6.9782796,-4.5689197,Application of liquid chromatography-inductively coupled plasma mass spectrometry to the study of protein-bound lead in human erythrocytes,"['applic', 'liquid', 'chromatography-induct', 'coupl', 'plasma', 'mass', 'spectrometri', 'studi', 'protein-bound', 'lead', 'human', 'erythrocyt']",95761,1996,Application of liquid chromatography-inductively coupled plasma mass spectrometry to the study of protein-bound lead in human erythrocytes,applic liquid chromatography-induct coupl plasma mass spectrometri studi protein-bound lead human erythrocyt,0
743,human erythrocyt protein bind lead ,8.260067,1.8063188,9.337107,Improving the presumptive disability decision-making process for veterans,"['improv', 'presumpt', 'disabl', 'decision-mak', 'process', 'veteran']",156586,2008,Improving the presumptive disability decision-making process for veterans,improv presumpt disabl decision-mak process veteran,0
751,human erythrocyt protein bind lead ,9.074835,1.1178528,9.215264,Creatinine and cystatin C: What are the values?,"['creatinin', 'cystatin', 'C', 'what', 'valu']",658392,2009,Creatinine and cystatin C: What are the values?,creatinin cystatin C what valu,0
755,human erythrocyt protein bind lead ,8.662914,1.7723917,9.965979,A new equation to estimate glomerular filtration rate,"['A', 'new', 'equat', 'estim', 'glomerular', 'filtrat', 'rate']",658401,2009,A new equation to estimate glomerular filtration rate,A new equat estim glomerular filtrat rate,0
766,human erythrocyt protein bind lead ,8.848196,1.4220396,10.284161,"Critical loads for sulphur and nitrogen: Report from a workshop held at Skokloster, Sweden, 19-24 March 1988","['critic', 'load', 'sulphur', 'nitrogen', 'report', 'workshop', 'held', 'skoklost', 'sweden', 'march']",662682,1988,"Critical loads for sulphur and nitrogen: Report from a workshop held at Skokloster, Sweden, 19-24 March 1988",critic load sulphur nitrogen report workshop held skoklost sweden march,0
793,human erythrocyt protein bind lead ,-2.1053066,5.3903236,2.9906552,Specific cerebral heat shock proteins and histamine receptor cross-talking mechanisms promote distinct lead-dependent neurotoxic responses in teleosts,"['specif', 'cerebr', 'heat', 'shock', 'protein', 'histamin', 'receptor', 'cross-talk', 'mechan', 'promot', 'distinct', 'lead-depend', 'neurotox', 'respons', 'teleost']",165399,2008,Specific cerebral heat shock proteins and histamine receptor cross-talking mechanisms promote distinct lead-dependent neurotoxic responses in teleosts,specif cerebr heat shock protein histamin receptor cross-talk mechan promot distinct lead-depend neurotox respons teleost,0
825,human erythrocyt protein bind lead ,8.425816,0.8259522,10.1567745,Synaptic plasticity: LTP and LTD,"['synapt', 'plastic', 'ltp', 'ltd']",670302,1994,Synaptic plasticity: LTP and LTD,synapt plastic ltp ltd,0
828,human erythrocyt protein bind lead ,9.040765,2.0889914,8.510048,Onset and progression in inherited ALS determined by motor neurons and microglia,"['onset', 'progress', 'inherit', 'al', 'determin', 'motor', 'neuron', 'microglia']",670304,2006,Onset and progression in inherited ALS determined by motor neurons and microglia,onset progress inherit al determin motor neuron microglia,0
833,human erythrocyt protein bind lead ,-2.1111085,4.9392023,3.9522154,Lead and calcium produce rod photoreceptor cell apoptosis by opening the mitochondrial permeability transition pore,"['lead', 'calcium', 'produc', 'rod', 'photoreceptor', 'cell', 'apoptosi', 'open', 'mitochondri', 'permeabl', 'transit', 'pore']",670309,2000,Lead and calcium produce rod photoreceptor cell apoptosis by opening the mitochondrial permeability transition pore,lead calcium produc rod photoreceptor cell apoptosi open mitochondri permeabl transit pore,0
834,human erythrocyt protein bind lead ,9.24525,1.0703181,10.308505,Seeing more clearly: Recent advances in understanding retinal circuitry,"['see', 'clearli', 'recent', 'advanc', 'understand', 'retin', 'circuitri']",670310,2003,Seeing more clearly: Recent advances in understanding retinal circuitry,see clearli recent advanc understand retin circuitri,0
855,human erythrocyt protein bind lead ,-3.9190972,6.8611655,-1.3318441,Centuries of human-driven change in salt marsh ecosystems,"['centuri', 'human-driven', 'chang', 'salt', 'marsh', 'ecosystem']",672706,2009,Centuries of human-driven change in salt marsh ecosystems,centuri human-driven chang salt marsh ecosystem,0
871,human erythrocyt protein bind lead ,-2.6197102,6.4539566,0.44278038,The structure of human mitochondrial manganese superoxide dismutase reveals a novel tetrameric interface of two 4-helix bundles,"['the', 'structur', 'human', 'mitochondri', 'manganes', 'superoxid', 'dismutas', 'reveal', 'novel', 'tetramer', 'interfac', 'two', '4-helix', 'bundl']",672725,1992,The structure of human mitochondrial manganese superoxide dismutase reveals a novel tetrameric interface of two 4-helix bundles,the structur human mitochondri manganes superoxid dismutas reveal novel tetramer interfac two 4-helix bundl,0
872,human erythrocyt protein bind lead ,-5.045424,6.2655168,-2.5700731,The structure of human extracellular copper-zinc superoxide dismutase at 1.7 A resolution: Insights into heparin and collagen binding,"['the', 'structur', 'human', 'extracellular', 'copper-zinc', 'superoxid', 'dismutas', 'A', 'resolut', 'insight', 'heparin', 'collagen', 'bind']",672727,2009,The structure of human extracellular copper-zinc superoxide dismutase at 1.7 A resolution: Insights into heparin and collagen binding,the structur human extracellular copper-zinc superoxid dismutas A resolut insight heparin collagen bind,0
874,human erythrocyt protein bind lead ,-4.98093,7.674221,-3.6367326,Active and inhibited human catalase structures: Ligand and NADPH binding and catalytic mechanism,"['activ', 'inhibit', 'human', 'catalas', 'structur', 'ligand', 'nadph', 'bind', 'catalyt', 'mechan']",672737,2000,Active and inhibited human catalase structures: Ligand and NADPH binding and catalytic mechanism,activ inhibit human catalas structur ligand nadph bind catalyt mechan,0
883,human erythrocyt protein bind lead ,9.488525,1.1867921,8.143382,"Faunal utilization of constructed intertidal oyster (Crassostrea rivularis) reef in the Yangtze River estuary, China","['faunal', 'util', 'construct', 'intertid', 'oyster', 'crassostrea', 'rivulari', 'reef', 'yangtz', 'river', 'estuari', 'china']",672977,2009,"Faunal utilization of constructed intertidal oyster (Crassostrea rivularis) reef in the Yangtze River estuary, China",faunal util construct intertid oyster crassostrea rivulari reef yangtz river estuari china,0
889,human erythrocyt protein bind lead ,9.093194,1.1161832,9.223516,Handbook of metalloproteins,"['handbook', 'metalloprotein']",673541,2001,Handbook of metalloproteins,handbook metalloprotein,0
893,human erythrocyt protein bind lead ,9.511274,0.35638958,8.565065,Implications of PDE4 structure on inhibitor selectivity across PDE families,"['implic', 'pde4', 'structur', 'inhibitor', 'select', 'across', 'pde', 'famili']",676717,2004,Implications of PDE4 structure on inhibitor selectivity across PDE families,implic pde4 structur inhibitor select across pde famili,0
896,human erythrocyt protein bind lead ,-2.8385792,6.18165,0.6764063,Molecular identification of human glutamine- and ammonia-dependent NAD synthetases: Carbon-nitrogen hydrolase domain confers glutamine dependency,"['molecular', 'identif', 'human', 'glutamine-', 'ammonia-depend', 'nad', 'synthetas', 'carbon-nitrogen', 'hydrolas', 'domain', 'confer', 'glutamin', 'depend']",676720,2003,Molecular identification of human glutamine- and ammonia-dependent NAD synthetases: Carbon-nitrogen hydrolase domain confers glutamine dependency,molecular identif human glutamine- ammonia-depend nad synthetas carbon-nitrogen hydrolas domain confer glutamin depend,0
900,human erythrocyt protein bind lead ,-4.5744824,7.3432555,-2.8043048,Pyrimidine nucleotidases from human erythrocyte possess phosphotransferase activities specific for pyrimidine nucleotides,"['pyrimidin', 'nucleotidas', 'human', 'erythrocyt', 'possess', 'phosphotransferas', 'activ', 'specif', 'pyrimidin', 'nucleotid']",676730,1997,Pyrimidine nucleotidases from human erythrocyte possess phosphotransferase activities specific for pyrimidine nucleotides,pyrimidin nucleotidas human erythrocyt possess phosphotransferas activ specif pyrimidin nucleotid,0
901,human erythrocyt protein bind lead ,9.154736,2.1375253,9.656837,Adenine phosphoribosyltransferase,"['adenin', 'phosphoribosyltransferas']",676731,1978,Adenine phosphoribosyltransferase,adenin phosphoribosyltransferas,0
902,human erythrocyt protein bind lead ,-4.250178,7.231013,-2.024654,Biochemical characterization of a Ca2+/NAD(P)H-dependent H2O2 generator in human thyroid tissue,"['biochem', 'character', 'ca2+/nad', 'P', 'h-depend', 'h2o2', 'gener', 'human', 'thyroid', 'tissu']",676732,1999,Biochemical characterization of a Ca2+/NAD(P)H-dependent H2O2 generator in human thyroid tissue,biochem character ca2+/nad P h-depend h2o2 gener human thyroid tissu,0
1005,human erythrocyt protein bind lead ,-4.4933715,5.271073,-4.2974997,Lead-induced genotoxicity in lymphocytes from peripheral blood samples of humans: In vitro studies,"['lead-induc', 'genotox', 'lymphocyt', 'peripher', 'blood', 'sampl', 'human', 'In', 'vitro', 'studi']",176591,2006,Lead-induced genotoxicity in lymphocytes from peripheral blood samples of humans: In vitro studies,lead-induc genotox lymphocyt peripher blood sampl human In vitro studi,0
1013,human erythrocyt protein bind lead ,-1.568607,4.1679935,5.432276,Structure of pyrimidine 5'-nucleotidase type 1: Insight into mechanism of action and inhibition during lead poisoning,"['structur', 'pyrimidin', ""5'-nucleotidas"", 'type', 'insight', 'mechan', 'action', 'inhibit', 'lead', 'poison']",180394,2006,Structure of pyrimidine 5'-nucleotidase type 1: Insight into mechanism of action and inhibition during lead poisoning,structur pyrimidin 5'-nucleotidas type insight mechan action inhibit lead poison,0
1062,human erythrocyt protein bind lead ,-2.7730706,6.750299,-6.819448,Comparative evaluation of trace metal distribution and correlation in human malignant and benign breast tissues,"['compar', 'evalu', 'trace', 'metal', 'distribut', 'correl', 'human', 'malign', 'benign', 'breast', 'tissu']",194456,2008,Comparative evaluation of trace metal distribution and correlation in human malignant and benign breast tissues,compar evalu trace metal distribut correl human malign benign breast tissu,0
1068,human erythrocyt protein bind lead ,-4.1208572,6.8961916,-2.2141328,Human geography of New Orleans' high-lead geochemical setting,"['human', 'geographi', 'new', 'orlean', 'high-lead', 'geochem', 'set']",194981,2008,Human geography of New Orleans' high-lead geochemical setting,human geographi new orlean high-lead geochem set,0
1078,human erythrocyt protein bind lead ,9.998148,4.064462,8.986408,Autonomic nerve activity and atrial fibrillation,"['autonom', 'nerv', 'activ', 'atrial', 'fibril']",197461,2007,Autonomic nerve activity and atrial fibrillation,autonom nerv activ atrial fibril,0
